Product Name,Current Price,Original Price,Rating
Apple iPhone 15 (128 GB) - Green,"₹60,500","₹69,900",4.5 out of 5 stars
Apple iPhone 14 (256 GB) - Blue,"₹63,900","₹79,900",4.5 out of 5 stars
Apple iPhone 13 (512GB) - Blue,Price not listed,No original price,4.5 out of 5 stars
"iPhone 16e 128 GB: Built for Apple Intelligence, A18 Chip, Supersized Battery Life, 48MP Fusion. Camera, 15.40 cm (6.1″) Super Retina XDR Display; Black","₹50,999","₹59,900",4.4 out of 5 stars
Apple iPhone 15 (128 GB) - Blue,"₹60,500","₹69,900",4.5 out of 5 stars
Amazon Brand - Solimo Tempered Glass Camera Lens Protector for iPhone 13 (6.1 Inch) & iPhone 13 Mini (5.4 Inch) | Glass Lens Cover (Black),₹99,₹249,3.9 out of 5 stars
Apple iPhone 15 (128 GB) - Black,"₹60,500","₹69,900",4.5 out of 5 stars
"OnePlus 13R | Smarter with OnePlus AI | Lifetime Display Warranty (16GB RAM, 512GB Storage Nebula Noir)","₹47,997","₹51,999",4.3 out of 5 stars
Apple iPhone 15 (128 GB) - Pink,"₹60,500","₹69,900",4.5 out of 5 stars
LOXXO® Microfiber Candy Case Compatible for iPhone 13 / iPhone 14 6.1 Inch Shockproof Slim Back Cover Liquid Silicone Case - Off White,₹379,₹999,3.9 out of 5 stars
"amazon basics Luxury Paper Thin Case Cover for iPhone 13 / iPhone 14 | Matte Finish | Compatible with magsafe | (Blue, iPhone 13 / iPhone 14)",₹239,₹799,4.0 out of 5 stars
Apple iPhone 15 (256 GB) - Black,"₹70,800","₹79,900",4.5 out of 5 stars
"Amazon Brand - Solimo Tempered Glass Camera Lens Protector for iPhone 13 6.1""& iPhone 13 Mini 5.4"",Ultra Clear 9H Hardness Glass Camera Lens Protector Compatible with (iPhone 13/13 Mini)",₹129,₹349,4.0 out of 5 stars
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Pink","₹72,900","₹79,900",4.4 out of 5 stars
"iPhone 16e 128 GB: Built for Apple Intelligence, A18 Chip, Supersized Battery Life, 48MP Fusion. Camera, 15.40 cm (6.1″) Super Retina XDR Display; White","₹50,999","₹59,900",4.4 out of 5 stars
"amazon basics Luxury Paper Thin Case Cover for iPhone 13 / iPhone 14 | Matte Finish | Compatible with magsafe | (Pink, iPhone 13 / iPhone 14)",₹249,₹799,4.4 out of 5 stars
"SKYCELL Charger Case Cover with Full Cable Protector 3D Cute Pattern Compatible for iPhone Charger Only 18W & 20W iPhone 16,iPhone 13,iPhone 15,iPhone 14 (Black Astronaut)",₹182,₹60.67,4.5 out of 5 stars
Enflamo for iPhone 13 Case Matte Back Silicone Cover 3D Designed | Camera Bump Protection (Maroon),₹284,₹999,4.3 out of 5 stars
